article_id,source,source_folder,source_type,title,author,published_raw,date,date_parse_note,location,word_count,entities,topics,narrative_lines,summary,file_path
638,International Times,International Times,derivative_international,Centrum's central role in the Tethan Gas Industry,,2 October 1982,1982-10-02,ok,,603,GAStech|Government|Sten Sanjorge|Tethys|Centrum,business,1,"The world of gas is distant, difficult and far flung. In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area. One of the sites I visited was a local office...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/International Times/638.txt
728,World Source,World Source,derivative_international,Centrum's central role in the Tethan Gas Industry,,1982/10/02,1982-10-02,ok,,430,GAStech|Government|Sten Sanjorge|Tethys|Centrum,,,"The world of gas is distant, difficult and far flung. In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area. One of the sites I visited was a local office...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/World Source/728.txt
214,Everyday News,Everyday News,primary_local,Central paper of the center in the industry of the gas of Tethan,,1982/10/03,1982-10-03,ok,,707,GAStech|Government|Sten Sanjorge|Tethys,business,1,"The world of the gas distant, difficult and is thrown far. In Tethys some years ago, I traveled laborious to the gas fields moved away of Tethys to watch a new debatable area of the energy production. One of the sites that I visited was a...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Everyday News/214.txt
596,News Online Today,News Online Today,aggregator,Centrum's central role in the Tethan Gas Industry,,1982/10/03,1982-10-03,ok,,181,Sten Sanjorge|Tethys|Centrum,,,"The world of gas is distant, difficult and far flung. In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area. One of the sites I visited was a local office...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/596.txt
796,The Continent,The Continent,derivative_international,The central role of the center in industry of the gas Tethan,,1982/10/03,1982-10-03,ok,,631,GAStech|Government|Sten Sanjorge|Tethys,environment|business,1,"The world of gas has been thrown far, with difficulty and far. Suffered in Tethys a couple year, I traveled with difficulty to the distant gas fields of Tethys to examine causing area a controversial new energy. An one of the places which...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The Continent/796.txt
347,International Times,International Times,derivative_international,Leadership,,4 October 1982,1982-10-04,ok,,55,GAStech|Sten Sanjorge,,,"In a Times article from 2 October, it was stated that GASTech president Sten Sanjorge was now less active in the day to day operations of the company. GASTech representatives informed the Times that Sanjorge is as active as ever and...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/International Times/347.txt
501,World Journal,World Journal,derivative_international,The central role of Centrum in the gas industry of Tethan,,1982/10/04,1982-10-04,ok,,642,GAStech|Government|Sten Sanjorge|Tethys|Centrum,environment|business,1|2,"The world of gas is distant, difficult and vast. In Tethys a few years ago, I travelled laboriously to the remote gas layers of Tethys to look at a new controversial sector of energy production. One of the sites which I visited was a local...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/World Journal/501.txt
564,World Source,World Source,derivative_international,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,,1984/05/03,1984-05-03,ok,,363,GAStech|Tethys,environment|protest,2|3,"<<Deleted Image: Anti-offshore drilling protester. Exploration has proved a controversial issue in Kronos>> Continue reading the main story The son of the founder of gas firm GAStech is planning a venture to drill in the Mediterranean Sea,...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/World Source/564.txt
751,International Times,International Times,derivative_international,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,,3 May 1984,1984-05-03,ok,,507,GAStech|Government|Sten Sanjorge|Tethys,environment|protest,2|3,"<<Deleted Image: Anti-offshore drilling protester. Exploration has proved a controversial issue in Kronos>> Continue reading the main story The son of the founder of gas firm GAStech is planning a venture to drill in the Mediterranean Sea,...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/International Times/751.txt
227,News Online Today,News Online Today,aggregator,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,,1984/05/04,1984-05-04,ok,,163,GAStech,protest,3,"<<Deleted Image: Anti-offshore drilling protester. Exploration has proved a controversial issue in Kronos>> Continue reading the main story The son of the founder of gas firm GAStech is planning a venture to drill in the Mediterranean Sea,...",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/News Online Today/227.txt
771,World Journal,World Journal,derivative_international,The gas pioneer projects the first wells at sea world at sea Mediterranean,,1984/05/04,1984-05-04,ok,,556,GAStech|Government|Sten Sanjorge|Tethys,environment|protest|business,1|2|3,<<Deleted the image: Protester of drilling of Anti-offshore oil rig. Exploration proved a question discussed in Kronos>> To continue to read the principal history The son of the founder of the gas company that GAStech projects a company to...,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/World Journal/771.txt
