item_id,item_type,date,title,sources,article_ids,likely_primary_source,sample_summary
EVT-0001,cross_source_story,1982-10-02,Centrum's central role in the Tethan Gas Industry,International Times; World Source,638;728,International Times,"The world of gas is distant, difficult and far flung. In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area. One of t"
EVT-0002,cross_source_story,1982-10-03,Central paper of the center in the industry of the gas of Tethan,Everyday News; The Continent,214;796,Everyday News,"The world of the gas distant, difficult and is thrown far. In Tethys some years ago, I traveled laborious to the gas fields moved away of Tethys to watch a new debatable area of the energy production."
EVT-0005,cross_source_story,1992-12-12,KRONOS GOVERNMENT PLANS TAX BREAKS TO ENCOURAGE FOREIGN INVESTMENT,News Online Today; Who What News,380;473,News Online Today,The Government of Kronos is currently planning some of the world's most generous tax breaks for gas investments. The Government of Kronos is pitching the plan as a win-win situation given that the hig
EVT-0006,cross_source_story,1993-01-19,Government Announces Tax Incentives For Foreign Investment,International News; News Online Today; The Guide,103;226;641,News Online Today,Today the Parliament voted 86 to 14 in favor of President Araullo's package of tax incentives designed to lure foreign investment to our fair country.
EVT-0007,cross_source_story,1993-01-20,The government announces the incentives of the tax for foreign investment,The Truth; Worldwise,632;755,The Truth,"Today the parliament that 86 up to 14 in favor of the parcel of president Araullo's of tax incentives becomes that is devised voted to tempt foreign investment to our honest country. Tomas Sarto, mini"
EVT-0008,cross_source_story,1993-02-02,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,All News Today; Homeland Illumination,152;681,Homeland Illumination,"In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing ch"
EVT-0010,cross_source_story,1993-03-14,The strikes of government treat international GAStech,The Truth; Worldwise,114;795,Worldwise,"President Araullo today announced the signature of an agreement between his government and GAStech Tethys-based international for the development of the gas layers of curve of Tiskele. GAStech, under "
EVT-0035,cross_source_story,1998-04-27,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED",Daily Pegasus; The Orb,647;741,Daily Pegasus,"This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf"
EVT-0038,cross_source_story,1998-05-17,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part three",Daily Pegasus; The Orb; The Wrap,264;622;814,Daily Pegasus,"This article is the installation passed of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf"
EVT-0046,cross_source_story,1999-02-19,GASTECH REPORTS RECORD EARNINGS,News Online Today; Who What News,449;702,News Online Today,"GAStech International, as projected earlier this month, reported record fiscal 1998 profit of $110 million. ""GAStech International has delivered another year of superior financial performance achieved"
