relationship_id,entity_a,entity_b,relation,description,evidence_type,evidence_id,source,date,quote,file_path,confidence
REL-0001,GAStech,Government,official_cooperation,长期商业合作与政府支持,news,496,Everyday News,1984-05-05,e the great volumes of gas coast outside that could be extracted. Sanjorge and GAStech were granted to three licenses by the government of Kronos the month last through the ministry of the energy and the development and hopes to begin the exploration soon,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Everyday News/496.txt,high
REL-0002,GAStech,Government,official_cooperation,长期商业合作与政府支持,news,666,Kronos Star,1993-03-12,"Government Strikes Deal with GAStech International President Araullo today announced the signing of an agreement between his government and the Tethys-based GAStech International for the development of the Tiskele Bend gas fields. GAStech, under the leadership of visionary Sten Sanjorge... President",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Kronos Star/666.txt,medium
REL-0003,GAStech,Government,official_cooperation,长期商业合作与政府支持,news,723,The General Post,1993-09-21,"BILA As she leaves from the government brokered distribution with international GAStech, Abila must make improvements to their deep port. When one hopes that the inclines of the production of the gas for above, the traffic of the port increases... As she leaves from the government brokered distribut",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/The General Post/723.txt,medium
REL-0004,GAStech,POK,opposition,环保抗议与设施冲突,news,273,Kronos Star,2001-08-30,"Traffic Near Tiskele Bend Fields Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's operations at the site. The protestors,... Five young people were arrest",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Kronos Star/273.txt,high
REL-0005,GAStech,POK,opposition,环保抗议与设施冲突,news,658,Homeland Illumination,2001-08-31,avies obstructed the free speech - yet again - of members of the activist group Protectors of Kronos yesterday at a lawful demonstration at the Tiskele Bend fields. The five POK activists had gathered in front of the gates to... Government heavies obstructed the free speech - yet again - of members ,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Homeland Illumination/658.txt,medium
REL-0006,GAStech,POK,opposition,环保抗议与设施冲突,news,221,Homeland Illumination,2005-04-05,POK PROTESTS END IN ARRESTS Fifteen members of the Protectors of Kronos (POK) activist organization were arrested by Kronos federal police yesterday following an dispute at the gates of the Tiskele Bend GAStech facility. Protesters arrived pre-dawn to lock arms and... Fifteen members of the Protecto,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Homeland Illumination/221.txt,medium
REL-0007,POK,Government,opposition,抗议者被逮捕、被定性为罪犯,news,273,Kronos Star,2001-08-30,"Activists Disrupt Traffic Near Tiskele Bend Fields Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's operations at the site. The protestors,... Five young ",C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Kronos Star/273.txt,high
REL-0008,POK,Government,opposition,抗议者被逮捕、被定性为罪犯,news,658,Homeland Illumination,2001-08-31,POK MEMBERS ARRESTED Government heavies obstructed the free speech - yet again - of members of the activist group Protectors of Kronos yesterday at a lawful demonstration at the Tiskele Bend fields. The five POK activists had gathered in front of the gates to... Government heavies obstructed the fre,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Homeland Illumination/658.txt,medium
REL-0009,POK,Government,opposition,抗议者被逮捕、被定性为罪犯,news,22,Daily Pegasus,2001-09-02,THE MEMBERS OF POK ARRESTED Heavies of the government obstructed the free speech - yet again - of the members of the protectors of the group of the activist of Kronos yesterday in a legal demonstration in the fields of the curve of Tiskele. The five activists of POK... Heavies of the government obst,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Daily Pegasus/22.txt,medium
REL-0010,APA,GAStech,hostility,绑架风险与恐怖活动关联,news,141,Athena Speaks,2009-02-21,n to the complaints of the environmental damage made more damage. The gathering apart from international registered offices of GAStech had like consequence of the multiple arrests for the... A gathering of POK conceived to give the attention to the complaints of the environmental damage made more da,C:/Users/17971/Desktop/HomeWork/数据可视化/MC1/MC1/News Articles/Athena Speaks/141.txt,high
