item_id,item_type,date,title,sources,article_ids,likely_primary_source,sample_summary
EVT-0003,cross_source_story,1984-05-03,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,International Times; World Source,564;751,World Source,<<Deleted Image: Anti-offshore drilling protester. Exploration has proved a controversial issue in Kronos>> Continue reading the main story The son of the founder of gas firm GAStech is planning a ven
EVT-0004,cross_source_story,1984-05-05,The pioneer of the gas of the slate plans first wells outside coast of the world in the Mediterranean Sea,Everyday News; The Continent,496;784,Everyday News,<<Deleted image: Demonstrator whom it perforates of Anti-offshore. The exploration has proven an controversial edition in Kronos>> To continue reading main history The son of the founder of the compan
EVT-0008,cross_source_story,1993-02-02,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,All News Today; Homeland Illumination,152;681,Homeland Illumination,"In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing ch"
EVT-0010,cross_source_story,1993-03-14,The strikes of government treat international GAStech,The Truth; Worldwise,114;795,Worldwise,"President Araullo today announced the signature of an agreement between his government and GAStech Tethys-based international for the development of the gas layers of curve of Tiskele. GAStech, under "
EVT-0013,cross_source_story,1994-02-18,"THE PROMINENT BUSINESS, CIVIC LEADER DIES IN 65",News Online Today; The General Post; The Light of Truth; The Tulip; Who What News,137;198;3;478;722,The General Post,"after four years of health that diminishes that they follow an important heart attac, Sten Sanjorge Sr. died Friday. Mr. Sanjorge, 65, of Centrum, Tethys was president emeritus of international of GAS"
EVT-0016,cross_source_story,1995-03-30,DRILLING TECHNIQUE BANNED IN TETHYS,News Online Today; The World; Who What News,111;153;314,News Online Today,GAStech International's Hyper Acidic Substrate Removal (HASR) has officially been banned by the Tethys government due to the high probability of water contamination.
EVT-0017,cross_source_story,1995-04-01,TECHNIQUE THAT IT PERFORATES PROHIBITED IN TETHYS,The General Post; The Tulip,586;97,The General Post,The international hyperactive acid retirement of the substratum of GAStech (HASR) has been prohibited officially by the government of Tethys due to the high probability of the contamination of the wat
EVT-0021,cross_source_story,1995-11-21,Araullo Announces New Hospital Construction,International News; Kronos Star,421;547,Kronos Star,"President Araullo announced today that his government is planning the construction of a new, modern Abila General Hospital. The old Abila General Hospital, built in 1930, has outdated health care faci"
EVT-0022,cross_source_story,1995-11-22,Araullo Announces New Hospital Construction,News Online Today; Worldwise,312;98,News Online Today,"President Araullo announced today that his government is planning the construction of a new, modern Abila General Hospital. The old Abila General Hospital, built in 1930, has outdated health care faci"
EVT-0025,cross_source_story,1996-07-08,GASTECH CHANGES OF POSITION THE CENTRUM TO KRONOS,News Online Today; The General Post; The Light of Truth,120;671;825,The General Post,International GAStech has changed of position its center of Tethys to the small Mediterranean island of Kronos and to the extensive deposits of the gas underneath the Earth. The recent loads of contam
EVT-0026,cross_source_story,1997-04-23,POSSIBLE CONTAMINATION IN ELODIS,Central Bulletin; The Abila Post,136;782,Central Bulletin,"About 25 km West of Abila is the small rural township of Elodis, situated on the Tiskele River. Roughly 20 km upstream is the Tiskele Bend site operated by GAStech International on government-owned la"
EVT-0027,cross_source_story,1997-04-24,POSSIBLE CONTAMINATION IN ELODIS,Athena Speaks; News Online Today,545;652,Athena Speaks,"Approximately 25 kilometers in the west of Abila are the small rural suburbs of Elodis, located on the river of Tiskele. Roughly 20 kilometers of ascending are the site of curve of Tiskele actuated by"
EVT-0028,cross_source_story,1997-04-25,POSSIBLE POLLUTION IN ELODIS,News Desk; The Explainer,60;731,News Desk,"Approximately 25 km at west of Abila are the small rural municipality of Elodis, to the river Tiskele located. Roughly speaking 20 km are upstream the place of bending Tiskele which is put by GAStech "
EVT-0029,cross_source_story,1997-10-15,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,News Online Today; The Abila Post,186;304,The Abila Post,After continued complaints and appeals from the people of Elodis government officials acknowledge minor contamination in and around the rural township in a report on their investigation into the towns
EVT-0030,cross_source_story,1997-10-16,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,Central Bulletin; The Explainer,151;703,Central Bulletin,After continued complaints and appeals from the people of Elodis government officials acknowledge minor contamination in and around the rural township in a report on their investigation into the towns
EVT-0032,cross_source_story,1998-03-20,"ELODIS, KRONOS:  A TOWN IN NEED, Part One",All News Today; News Online Today; The Orb,154;342;531,All News Today,"NOTE: This article is the first in a series, reprinted with permission from the Homeland Illumination. This article is the first installment of a three-part series addressing the growing problem of on"
EVT-0033,cross_source_story,1998-03-21,"ELODIS, KRONOS:  A CITY IN the NECESSITY, part one",Daily Pegasus; The Wrap,317;448,Daily Pegasus,"This article is the first installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming infl"
EVT-0034,cross_source_story,1998-04-26,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two",News Online Today; The Wrap,183;4,News Online Today,"NOTE: This article is the second in a series, reprinted with permission from the Homeland Illumination. Bodrogi has farmed soybeans his entire life, as did his father and their fathers. ""We've worked "
EVT-0035,cross_source_story,1998-04-27,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED",Daily Pegasus; The Orb,647;741,Daily Pegasus,"This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf"
EVT-0036,cross_source_story,1998-05-15,"ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME? Part Three",All News Today; Homeland Illumination; News Online Today,237;35;79,Homeland Illumination,"This article is the last installment of a three-part series addressing the growing problem of one community's anguish, government malfeasance, and the alarming influence of multinational corporations "
EVT-0037,cross_source_story,1998-05-16,ELODIS PUBLIC HEALTH FACT SHEET,All News Today; News Online Today,16;617,All News Today,"At the request of the citizens of Elodis, Wellness for All has published a report on the impact of gas drilling operations on water quality and public health. Comparative data prior to 1998 was obtain"
EVT-0038,cross_source_story,1998-05-17,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part three",Daily Pegasus; The Orb; The Wrap,264;622;814,Daily Pegasus,"This article is the installation passed of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf"
EVT-0039,cross_source_story,1998-08-21,OF TEN YEARS OLD  OF THE GIRL OF ELODIS OF THE  POISONING DIES,Daily Pegasus; The Wrap,409;791,Daily Pegasus,"Of ten years - old Julian Vann died yesterday in the evening, surrounded by their family and friends. The cause of the death was leukemia due to the poison of the benzene. Julian he had been ill by on"
EVT-0040,cross_source_story,1998-11-10,The ministry of health examines the complaints of pollution,The Guide; The Truth; Worldwise,166;330;5,The Truth,The minister of health Cesare Nespola announced today to that its organization require of abnormal health questions in areas researches those drilling sites would surround of bending Tiskele. Minister
EVT-0041,cross_source_story,1998-11-14,HEALTH FOR ALL (WFA) BURSTS GASTECH AND KRONOS GOVT,News Online Today; The General Post; The Tulip; Who What News,206;316;574;694,The General Post,"The health group of the knowledge of the water, health for all (WFA), has condemned international GAStech and the government of Kronos. The WFA declaration demands the extensive contamination of the u"
EVT-0042,cross_source_story,1998-11-15,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,All News Today; News Online Today; The Wrap,408;420;779,All News Today,"Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagu"
EVT-0043,cross_source_story,1998-11-15,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,News Online Today; The Abila Post; The Light of Truth,619;68;823,The Abila Post,The international healthy water awareness group Wellness for All (WFA) have performed testing on the local water in Elodis finding high level of hazardous materials in residential water wells. In a st
