item_id,item_type,date,title,sources,article_ids,likely_primary_source,sample_summary
EVT-0003,cross_source_story,1984-05-03,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,International Times; World Source,564;751,World Source,<<Deleted Image: Anti-offshore drilling protester. Exploration has proved a controversial issue in Kronos>> Continue reading the main story The son of the founder of gas firm GAStech is planning a ven
EVT-0004,cross_source_story,1984-05-05,The pioneer of the gas of the slate plans first wells outside coast of the world in the Mediterranean Sea,Everyday News; The Continent,496;784,Everyday News,<<Deleted image: Demonstrator whom it perforates of Anti-offshore. The exploration has proven an controversial edition in Kronos>> To continue reading main history The son of the founder of the compan
EVT-0033,cross_source_story,1998-03-21,"ELODIS, KRONOS:  A CITY IN the NECESSITY, part one",Daily Pegasus; The Wrap,317;448,Daily Pegasus,"This article is the first installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming infl"
EVT-0035,cross_source_story,1998-04-27,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED",Daily Pegasus; The Orb,647;741,Daily Pegasus,"This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf"
EVT-0038,cross_source_story,1998-05-17,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part three",Daily Pegasus; The Orb; The Wrap,264;622;814,Daily Pegasus,"This article is the installation passed of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming inf"
EVT-0042,cross_source_story,1998-11-15,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,All News Today; News Online Today; The Wrap,408;420;779,All News Today,"Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagu"
EVT-0043,cross_source_story,1998-11-15,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,News Online Today; The Abila Post; The Light of Truth,619;68;823,The Abila Post,The international healthy water awareness group Wellness for All (WFA) have performed testing on the local water in Elodis finding high level of hazardous materials in residential water wells. In a st
EVT-0044,cross_source_story,1998-11-16,MEETING OF THE REPRESENTATIVES OF POK WITH THE MINISTER OF KRONOS OF THE HEALTH,Daily Pegasus; The Orb,211;628,Daily Pegasus,"Rhe representatives of the social activist group the protectors of Kronos (POK) solved at the beginning of this week with Will stop Nespola, minister of the health to discuss resolutions to the contam"
EVT-0049,cross_source_story,1999-07-08,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,All News Today; News Online Today,267;612,All News Today,Minister of Health Cesare Nespola announced he would sponsor a bill to increase taxes on foreign energy development in Kronos intended to fund environmental cleanup and improved healthcare for rural t
EVT-0050,cross_source_story,1999-07-09,MINISTER FOR HEALTH TO PROPOSE THE SOLUTION WITH THE POISONING OF CITY,The Orb; The Wrap,248;740,The Orb,The Minister for health Cesare Nespola announced would finance an invoice to increase taxes on the foreign development of energy in Kronos designed to place environmental cleaning and improved of the 
EVT-0061,cross_source_story,2001-03-22,"TAX MEASURE DEFEATED, POK EFFORTS STALLED",All News Today; Homeland Illumination; News Online Today,134;391;606,Homeland Illumination,A measure to increase taxes on foreign oil and gas development proposed by Minister of Health Cesare Nespola was defeated by a wide margin last week in the General Assembly. This defeat is a harsh blo
EVT-0062,cross_source_story,2001-03-24,"REPORTS THE MEASURE OF THE TAX, BLOCKED EFFORTS POK",The Orb; The Wrap,187;459,The Wrap,A measure became taxes at foreign oil and raise gas development which by minister of health Cesare Nespola is presented covered by a broad fork last week at the general meeting. This defeat is a harsh
EVT-0064,cross_source_story,2001-08-31,Activists Disrupt Traffic Near Tiskele Bend Fields,International News; News Online Today; The Truth,129;544;794,News Online Today,Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's opera
EVT-0065,cross_source_story,2001-09-01,The activists interrupt traffic near fields of the curve of Tiskele,The Guide; Worldwise,328;593,The Guide,They arrested five young people to protest yesterday near the entrance to the fields of the curve of Tiskele whereas they called for the action of the government to treat its environmental preoccupati
EVT-0066,cross_source_story,2001-09-01,POK MEMBERS ARRESTED,News Online Today; The Orb,511;778,News Online Today,Government heavies obstructed the free speech - yet again - of members of the activist group Protectors of Kronos yesterday at a lawful demonstration at the Tiskele Bend fields. The five POK activists
EVT-0067,cross_source_story,2001-09-02,THE MEMBERS OF POK ARRESTED,Daily Pegasus; The Wrap,22;680,Daily Pegasus,Heavies of the government obstructed the free speech - yet again - of the members of the protectors of the group of the activist of Kronos yesterday in a legal demonstration in the fields of the curve
EVT-0073,cross_source_story,2005-04-06,POK PROTESTS END IN ARRESTS,All News Today; News Online Today; The Orb; The Wrap,121;17;247;832,All News Today,Fifteen members of the Protectors of Kronos (POK) activist organization were arrested by Kronos federal police yesterday following an dispute at the gates of the Tiskele Bend GAStech facility. Swaying
EVT-0074,cross_source_story,2005-04-06,Protestors Block Traffic to Tiskele Bend Fields,International News; Kronos Star; News Online Today,179;423;781,Kronos Star,"More than a dozen POK protesters were handcuffed and taken into custody by police Tuesday for blocking access to the Tiskele Bend fields. Before police made the arrests shortly after 9 a.m., the prote"
EVT-0075,cross_source_story,2005-04-08,Traffic of the block from Protestors to the fields of the curve of Tiskele,The Guide; The Truth; Worldwise,595;621;730,The Guide,More than dozen demonstrators POK handle and seizures in safekeeping by the police were put Tuesday to block the access to the fields of the curve of Tiskele. The demonstrators tomorrow arrived the en
EVT-0076,cross_source_story,2005-09-25,ELODIS PROTESTS TURN TO RIOTS AND ARRESTS,Central Bulletin; News Desk; News Online Today,113;285;464,Central Bulletin,"The Protectors of Kronos (POK) continue to protest against the Kronos Government and GAStech International alleging pollution, water contamination and a lack of a government response. Lately the prote"
EVT-0077,cross_source_story,2005-09-26,TURN OF PROTESTS Of ELODIS TO the RIOTS AND the ARRESTS,Athena Speaks; The Explainer,383;491,Athena Speaks,"The guards of Kronos (POK) continue to protest against the pollution of international allegation of government and GAStech de Kronos, the contamination of water and a lack of a response of government."
EVT-0082,cross_source_story,2009-02-18,POK Protest at GAStech Headquarters Ends in Arrests,International News; Kronos Star,168;742,Kronos Star,Dozens of protesters attending a Protectors of Kronos (POK) rally in front of the GAStech regional headquarters in Abila were arrested for trespassing this morning. The POK rally was intended to draw 
EVT-0083,cross_source_story,2009-02-19,GASTECH HEADQUARTERS BLOCKED BY POK,Central Bulletin; News Online Today; The Abila Post; The Guide; The Truth,165;335;476;565;807;837,Central Bulletin,A POK rally designed to bring attention to claims of environmental damage have done more damage to their image. The rally outside of GAStech International's headquarters resulted in multiple arrests f
EVT-0084,cross_source_story,2009-02-20,The protest of POK at GAStech sits of the ends in the arrests,The Explainer; Worldwise,340;808,Worldwise,Dozen protesters being present guards of gathering of Kronos (POK) in front of the regional registered offices of GAStech in Abila was stopped for enfreindre this morning. The gathering of POK was des
EVT-A181,anchor_event,2009-02-20,POK 抗议 GAStech 设施遭逮捕,All News Today; Central Bulletin; Centrum Sentinel; Daily Pegasus; Everyday News; Homeland Illumination; International News; International Times; Kronos Star; News Desk; News Online Today; The Abila Post; The Continent; The Guide; The Light of Truth; The Truth; The Tulip; The World; The Wrap; Who What News; World Journal; Worldwise,17;24;29;56;65;113;121;129;145;149;165;168;195;221;247;268;273;285;313;328;335;387;422;427;431;436;439;461;464;476;544;556;560;593;594;607;742;760;776;794;808;810;837,Kronos Star,Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's opera
EVT-0085,cross_source_story,2009-02-21,SANJORGE JR CONDEMNS POK LIKE TERRORISTS,The Light of Truth; Who What News,675;716,The Light of Truth,"An official report released by Sten Sanjorge Jr., president and CEO of international GASTech, condemns the guards of Kronos as ""illegitimate"" and organization of ""terrorists"". The report came in respo"
