event_id,event_name,date,likely_primary_source,likely_primary_article_id,derivative_sources,article_count
EVT-0001,Centrum's central role in the Tethan Gas Industry,1982-10-02,International Times,638,World Source,2
EVT-0002,Central paper of the center in the industry of the gas of Tethan,1982-10-03,Everyday News,214,The Continent,2
EVT-0003,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,1984-05-03,World Source,564,International Times,2
EVT-0004,The pioneer of the gas of the slate plans first wells outside coast of the world in the Mediterranean Sea,1984-05-05,Everyday News,496,The Continent,2
EVT-0005,KRONOS GOVERNMENT PLANS TAX BREAKS TO ENCOURAGE FOREIGN INVESTMENT,1992-12-12,News Online Today,380,Who What News,2
EVT-0006,Government Announces Tax Incentives For Foreign Investment,1993-01-19,News Online Today,103,International News; The Guide,3
EVT-0007,The government announces the incentives of the tax for foreign investment,1993-01-20,The Truth,632,Worldwise,2
EVT-0008,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,1993-02-02,Homeland Illumination,681,All News Today,2
EVT-0009,Government Strikes Deal with GAStech International,1993-03-13,News Online Today,367,The Guide,2
EVT-0010,The strikes of government treat international GAStech,1993-03-14,Worldwise,114,The Truth,2
EVT-0011,UPGRADES NEEDED FOR ABILA'S DEEP WATER PORT,1993-09-19,The World,736,Who What News,2
EVT-0012,THE IMPROVEMENTS NEEDED FOR THE DEEP PORT OF ABILA,1993-09-21,The General Post,723,The Light of Truth; The Tulip,3
EVT-0013,"THE PROMINENT BUSINESS, CIVIC LEADER DIES IN 65",1994-02-18,The General Post,478,News Online Today; The Light of Truth; The Tulip; Who What News,5
EVT-0014,GASTECH'S EXPANSION REACHES THE SHORES OF KRONOS,1994-09-24,News Online Today,534,Who What News,2
EVT-0015,THE EXTENSION OF GASTECH REACHES THE KRONOS BORDERS,1994-09-25,The General Post,192,The Light of Truth; The Tulip,3
EVT-0016,DRILLING TECHNIQUE BANNED IN TETHYS,1995-03-30,News Online Today,314,The World; Who What News,3
EVT-0017,TECHNIQUE THAT IT PERFORATES PROHIBITED IN TETHYS,1995-04-01,The General Post,97,The Tulip,2
EVT-0018,Grand Opening of the New GAStech Offices,1995-10-10,Kronos Star,526,The World,2
EVT-0019,Grand Opening of the New GAStech Offices,1995-10-11,News Online Today,634,International News; The Light of Truth; The Tulip; Worldwise,6
EVT-0020,MAGNIFICENT OPENING GASTECH-KRONOS,1995-10-12,The General Post,543,The Guide; The Truth,3
EVT-0021,Araullo Announces New Hospital Construction,1995-11-21,Kronos Star,421,International News,2
EVT-0022,Araullo Announces New Hospital Construction,1995-11-22,News Online Today,98,Worldwise,2
EVT-0023,Araullo announces the new construction of the hospital,1995-11-23,The Guide,424,The Truth,2
EVT-0024,Tiskele Bend Gas Fields Larger Than First Thought,1996-03-14,News Online Today,542,International News,2
EVT-0025,GASTECH CHANGES OF POSITION THE CENTRUM TO KRONOS,1996-07-08,The General Post,825,News Online Today; The Light of Truth,3
EVT-0026,POSSIBLE CONTAMINATION IN ELODIS,1997-04-23,Central Bulletin,136,The Abila Post,2
EVT-0027,POSSIBLE CONTAMINATION IN ELODIS,1997-04-24,Athena Speaks,652,News Online Today,2
EVT-0028,POSSIBLE POLLUTION IN ELODIS,1997-04-25,News Desk,60,The Explainer,2
EVT-0029,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,1997-10-15,The Abila Post,304,News Online Today,2
EVT-0030,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,1997-10-16,Central Bulletin,151,The Explainer,2
EVT-0031,The advantages of Kronos of foreign investment,1998-01-19,The Truth,406,Worldwise,2
EVT-0032,"ELODIS, KRONOS:  A TOWN IN NEED, Part One",1998-03-20,All News Today,154,News Online Today; The Orb,3
EVT-0033,"ELODIS, KRONOS:  A CITY IN the NECESSITY, part one",1998-03-21,Daily Pegasus,317,The Wrap,2
EVT-0034,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two",1998-04-26,News Online Today,4,The Wrap,2
EVT-0035,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED",1998-04-27,Daily Pegasus,647,The Orb,2
EVT-0036,"ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME? Part Three",1998-05-15,Homeland Illumination,35,All News Today; News Online Today,3
EVT-0037,ELODIS PUBLIC HEALTH FACT SHEET,1998-05-16,All News Today,617,News Online Today,2
EVT-0038,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part three",1998-05-17,Daily Pegasus,264,The Orb; The Wrap,3
EVT-0039,OF TEN YEARS OLD  OF THE GIRL OF ELODIS OF THE  POISONING DIES,1998-08-21,Daily Pegasus,791,The Wrap,2
EVT-0040,The ministry of health examines the complaints of pollution,1998-11-10,The Truth,166,The Guide; Worldwise,3
EVT-0041,HEALTH FOR ALL (WFA) BURSTS GASTECH AND KRONOS GOVT,1998-11-14,The General Post,316,News Online Today; The Tulip; Who What News,4
EVT-0042,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,1998-11-15,All News Today,420,News Online Today; The Wrap,3
EVT-0043,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,1998-11-15,The Abila Post,619,News Online Today; The Light of Truth,3
EVT-0044,MEETING OF THE REPRESENTATIVES OF POK WITH THE MINISTER OF KRONOS OF THE HEALTH,1998-11-16,Daily Pegasus,628,The Orb,2
EVT-0045,HEALTH FOR ALL THE REPORT/RATIO OF QUESTIONS ABOUT ELODIS,1998-11-17,Athena Speaks,519,News Desk; The Explainer,3
EVT-0046,GASTECH REPORTS RECORD EARNINGS,1999-02-19,News Online Today,702,Who What News,2
EVT-0047,GAINS OF THE FILE OF GASTECH INFORMATION,1999-02-20,The General Post,284,The Light of Truth; The Tulip,3
EVT-0048,"Minister Nespola Champions Added Taxes on Oil, Gas Development",1999-07-04,News Online Today,640,International News; The Guide,3
EVT-0049,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,1999-07-08,All News Today,612,News Online Today,2
EVT-0050,MINISTER FOR HEALTH TO PROPOSE THE SOLUTION WITH THE POISONING OF CITY,1999-07-09,The Orb,248,The Wrap,2
EVT-0051,KRONOS GDP ON THE RISE,2000-01-15,News Online Today,789,The World,2
EVT-0052,KRONOS GDP ON THE RISE,2000-01-16,Who What News,471,The Light of Truth; The Tulip,3
EVT-0053,LEAF OF THE FACT OF THE PUBLIC HEALTH OF ELODIS - UPDATE,2000-06-01,Daily Pegasus,72,The Orb,2
EVT-0054,EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE,2000-08-15,News Online Today,413,The World; Who What News,3
EVT-0055,SITE OF THE CURVE OF TISKELE OF ROCKS GASTECH OF THE EXPLOSION,2000-08-16,The General Post,235,The Light of Truth; The Tulip,3
EVT-0056,TISKELE BEND EXPLOSION AND FIRE,2000-08-17,Central Bulletin,734,News Online Today,2
