source,source_type,article_count,date_min,date_max,unparsed_dates,top_topics,top_entities
All News Today,aggregator,18,1993-02-02,2014-01-19,0,environment(9); security(7); protest(6); business(5); legal(2),Elodis(13); POK(11); Government(9); GAStech(7); Elian Karel(5)
Athena Speaks,primary_local,25,1997-04-24,2014-01-20,0,business(11); environment(10); security(10); protest(9); kidnapping(4),Government(20); GAStech(15); Abila(14); POK(11); Elodis(9)
Central Bulletin,primary_local,21,1997-04-23,2014-01-20,0,security(11); environment(9); business(8); protest(7); ipo(3),Government(17); GAStech(13); POK(12); Abila(10); Elodis(8)
Centrum Sentinel,primary_institutional,36,2014-01-20,2014-01-21,0,business(25); security(11); kidnapping(9),GAStech(20); Abila(9); Government(7); Tethys(4); Sten Sanjorge(2)
Daily Pegasus,primary_local,26,1993-02-04,2014-03-26,0,environment(16); protest(12); business(12); security(9); legal(4),Elodis(19); Government(16); POK(14); Abila(13); GAStech(11)
Everyday News,primary_local,15,1982-10-03,2014-03-26,0,business(9); environment(8); protest(8); security(8); legal(1),Government(11); GAStech(10); Tethys(8); Abila(7); Sten Sanjorge(5)
Homeland Illumination,primary_local,64,1993-02-02,2014-01-21,0,business(25); security(22); environment(15); protest(11); kidnapping(11),GAStech(33); Abila(24); Government(23); Elodis(21); POK(17)
International News,derivative_international,20,1993-01-19,2014-01-21,0,security(12); business(9); protest(8); kidnapping(3); environment(2),Government(13); POK(12); Abila(11); GAStech(8); President Kapelou(4)
International Times,derivative_international,14,1982-10-02,2014-01-21,0,environment(8); security(8); business(6); protest(6); legal(1),GAStech(10); Government(10); Tethys(7); Abila(7); Sten Sanjorge(6)
Kronos Star,primary_local,62,1993-01-18,2014-01-21,0,security(33); business(26); kidnapping(12); protest(10); environment(5),GAStech(45); Abila(23); Government(21); POK(18); President Kapelou(11)
Modern Rubicon,primary_local,30,2014-01-20,2014-01-21,0,business(17); security(11); kidnapping(7); protest(2); ipo(1),GAStech(26); Abila(14); Government(9); Tethys(4); Sten Sanjorge(3)
News Desk,aggregator,25,1997-04-25,2014-01-20,0,security(15); business(10); environment(9); protest(8); kidnapping(3),Government(20); GAStech(15); Abila(13); POK(11); Elodis(9)
News Online Today,aggregator,111,1982-10-03,2014-01-21,0,security(37); protest(28); business(24); environment(18); kidnapping(8),Government(47); POK(46); GAStech(44); Abila(31); Elodis(24)
Tethys News,primary_institutional,35,2014-01-20,2014-01-20,0,business(17); security(16); kidnapping(9),GAStech(35); Abila(8); Government(4); Sten Sanjorge(3); POK(3)
The Abila Post,primary_local,54,1997-04-23,2014-01-21,0,security(25); business(23); kidnapping(13); environment(10); protest(10),GAStech(40); Government(28); Abila(27); POK(17); Elodis(9)
The Continent,derivative_international,15,1982-10-03,2014-03-26,0,environment(10); business(8); protest(8); security(8); legal(1),Government(11); GAStech(10); Abila(8); Tethys(7); Sten Sanjorge(5)
The Explainer,derivative_international,25,1997-04-25,2014-01-20,0,security(15); protest(9); environment(8); business(7); kidnapping(3),Government(19); GAStech(15); Abila(13); POK(13); Elodis(9)
The General Post,primary_local,19,1992-12-13,2014-01-21,0,environment(8); business(6); security(4); protest(4); ipo(2),GAStech(18); Government(14); Sten Sanjorge(13); Abila(5); Tethys(5)
The Guide,derivative_international,28,1993-01-19,2014-01-21,0,security(15); protest(12); business(9); environment(4); kidnapping(3),Abila(18); Government(17); POK(14); GAStech(11); President Kapelou(10)
The Light of Truth,derivative_international,19,1992-12-12,2014-01-21,0,business(8); environment(8); protest(3); ipo(3); security(2),GAStech(18); Government(14); Sten Sanjorge(13); Abila(6); Tethys(5)
The Orb,derivative_international,26,1993-02-03,2014-01-19,0,protest(12); environment(11); business(10); security(9); legal(5),Elodis(19); Government(16); Abila(13); POK(13); GAStech(11)
The Truth,derivative_international,28,1993-01-20,2014-01-21,0,security(15); business(14); protest(11); environment(4); kidnapping(3),Government(18); Abila(16); POK(14); GAStech(11); President Kapelou(10)
The Tulip,derivative_international,19,1992-12-12,2014-01-21,0,environment(9); business(8); security(5); protest(3); ipo(3),GAStech(18); Government(14); Sten Sanjorge(12); Abila(6); Tethys(5)
The World,derivative_international,17,1992-12-11,2014-01-21,0,environment(7); business(5); ipo(3); protest(2); security(2),GAStech(16); Government(12); Sten Sanjorge(12); Abila(6); Tethys(5)
The Wrap,derivative_international,26,1993-02-04,2014-01-19,0,business(12); environment(10); protest(10); security(9); legal(6),Elodis(19); Government(16); Abila(13); POK(13); GAStech(11)
Who What News,derivative_international,15,1992-12-12,2014-01-21,0,environment(6); business(5); protest(3); security(2); ipo(2),GAStech(14); Government(10); Sten Sanjorge(9); Abila(6); Tethys(3)
World Journal,derivative_international,15,1982-10-04,2014-03-26,0,environment(9); protest(9); business(8); security(7); legal(2),Government(11); GAStech(10); Tethys(8); Abila(8); Sten Sanjorge(5)
World Source,derivative_international,9,1982-10-02,2014-01-21,0,environment(6); security(5); protest(4); business(2); kidnapping(1),GAStech(6); Government(6); Tethys(5); POK(4); Abila(4)
Worldwise,derivative_international,28,1993-01-20,2014-01-21,0,security(15); business(13); protest(11); environment(4); kidnapping(3),Government(18); Abila(16); POK(14); GAStech(11); President Kapelou(10)
